lambda_air[angstrom], lambda_vac[nm], transition
7003.928, 700.5859666378375, 7-2_P2e(5.5)
7011.202, 701.3135625441043, 7-2_P1e(6.5)
7011.618, 701.3551737481407, 7-2_P1f(6.5)
7041.251, 704.3192718910417, 7-2_P2f(6.5)
7041.473, 704.3414778707721, 7-2_P2e(6.5)
7047.846, 704.9789495341807, 7-2_P1e(7.5)
7048.376, 705.0319638104623, 7-2_P1f(7.5)
7082.370, 708.4322795425651, 7-2_P2f(7.5)
7082.683, 708.4635879746919, 7-2_P2e(7.5)
7088.266, 709.0220383806255, 7-2_P1e(8.5)
7088.922, 709.0876560534509, 7-2_P1f(8.5)
7127.248, 712.9212886376658, 7-2_P2f(8.5)
7127.661, 712.962599765522, 7-2_P2e(8.5)
7132.553, 713.4519315766022, 7-2_P1e(9.5)
7133.346, 713.5312529435723, 7-2_P1f(9.5)
7176.005, 717.798302454242, 7-2_P2f(9.5)
7176.528, 717.8506165483043, 7-2_P2e(9.5)
7180.808, 718.2787318887998, 7-2_P1e(10.5)
7181.750, 718.3729572747138, 7-2_P1f(10.5)
7228.773, 723.0765245979395, 7-2_P2f(10.5)
7229.417, 723.1409419558566, 7-2_P2e(10.5)
7233.149, 723.5142425462585, 7-2_P1e(11.5)
7233.252, 723.524545322485, 7-2_P1f(11.5)
7238.771, 724.0765940810983, 8-3_R1f(3.5)
7238.787, 724.0781945123648, 8-3_R1e(3.5)
7240.166, 724.2161316822296, 8-3_R1f(2.5)
7240.194, 724.2189324369497, 8-3_R1e(2.5)
7240.843, 724.2838499302966, 8-3_R1e(4.5)
7240.854, 724.2849502267942, 8-3_R1f(4.5)
7241.378, 724.3373643508803, 8-3_R2e(2.5)
7241.433, 724.3428658333719, 8-3_R2f(2.5)
7241.900, 724.3895784210823, 8-3_R2e(3.5)
7241.969, 724.3964802809384, 8-3_R2f(3.5)
7244.894, 724.6890591230542, 8-3_R1f(1.5)
7244.920, 724.6916598238765, 8-3_R1e(1.5)
7245.083, 724.7079642174939, 8-3_R2e(1.5)
7245.110, 724.7106649452714, 8-3_R2f(1.5)
7246.488, 724.8485020889588, 8-3_R1e(5.5)
7246.541, 724.8538035175656, 8-3_R1f(5.5)
7246.548, 724.8545037062494, 8-3_R2e(4.5)
